(-8.000000012920875, -7.999999996108769)
(-8.000000003140741, -8.0000000024934)
(-8.000000000989258, -8.000000010125659)
(-8.000000005444644, -8.000000001903343)
(-8.000000005446413, -7.999999995022819)
(-8.000000007577592, -7.99999999568576)
(-7.999999994448682, -7.999999996091164)
(-7.999999993609653, -7.999999995601569)
(-8.000000004148921, -8.000000006130696)
(-7.9999999939377995, -8.000000002422471)
(-8.000000002354092, -8.000000008325397)
(-7.999999992003587, -8.000000004071536)
(-7.999999988300122, -7.999999996309764)
(-7.999999994543017, -7.999999989789946)
(-7.9999999977306375, -7.99999999886362)
(-7.999999997758693, -8.00000000139524)
(-8.000000000629692, -7.99999999565442)
(-7.9999999914326505, -8.000000006868385)
(-7.798826611130185, -7.999897720567205)
(-7.09270848420163, -8.039102086206007)
(-7.892590446688212, -8.889768237864656)
(-7.831918641087139, -8.212685058074408)
(-7.861684613916533, -8.580456133409186)
(-7.864085119452861, -8.592024772656755)
(-7.838991517845356, -8.454750425685184)
(-7.841065640594372, -9.233026862106133)
(-6.990821451631012, -8.629548023687056)
(-7.658618859188127, -8.49071953199091)
(-7.289942465557111, -8.568301290368092)
(-7.305794653439842, -8.565977688559146)
(-7.564564106456925, -8.511638532319479)
(-7.2869546084285, -8.56390689507119)
(-6.422243048490253, -8.563403514350357)
(-7.317907932820866, -8.524457140475896)
(-6.296523257539961, -8.542731742050831)
(-6.190202750706402, -8.543724757061854)
(-7.060146504039098, -8.532425545624047)
(-6.336619553494247, -8.540255030777303)
(-5.333706431927207, -8.540751865248438)
(-5.89234006084013, -8.535463139134775)
(-5.5826651527293265, -8.537856457855668)
(-5.566915254594407, -8.928121170170378)
(-5.829324965312165, -9.28231317290366)
(-5.747779255721701, -9.331763469453259)
(-4.712142582008044, -8.95022414014414)
(-4.785927566253086, -9.210857734146275)
(-4.749867677107418, -9.069195548076127)
(-4.7467571867884875, -9.065645593871697)
(-4.77620938675461, -9.174419014042162)
(-4.751912612595263, -9.075592382486589)
(-4.747391233298985, -9.067034876103104)
(-4.769829527341444, -9.150362595465072)
(-4.757459020981965, -9.10695370134274)
(-4.7569083372066725, -9.100650346924617)
(-4.767367863836332, -9.142260111239404)
(-4.758392561348913, -9.109703794972965)
(-4.757110312956902, -9.101843742710752)
(-4.764739358129912, -9.131571181494476)
(-4.761090142553478, -9.118226958890691)
(-4.3922999878816835, -9.113041462889976)
(-3.942013832717416, -9.126684747629076)
(-4.685633135315256, -9.120739328639981)
(-4.43699388985044, -9.113665289360132)
(-4.054513350134897, -9.122239326082775)
(-3.6589069197241546, -9.118431136956273)
(-3.6580286641777935, -9.11616508494393)
(-3.9845359264266094, -9.122509019113743)
(-3.6861933903132975, -9.118035916658762)
(-3.6611957506526793, -9.116355630223655)
(-3.14645802347777, -9.119711488167733)
(-3.392844822881718, -9.118648896027029)
(-3.4471743716649064, -9.118617775083335)
(-3.2006743683132375, -9.118627813836836)
(-3.3785196148427943, -9.11908491400436)
(-3.4381439119033113, -9.118828098696872)
(-3.260281112890853, -9.118330105029761)
(-2.7795566291822635, -9.117919042566992)
(-2.737047189834022, -9.117635398721411)
(-3.1664000247692927, -8.97489523809342)
(-2.812490920542228, -8.200077799201479)
(-2.7463037819365024, -8.982881905870194)
(-2.304878381849849, -8.99816465439572)
(-2.4913680292531284, -8.44698348461954)
(-2.567578157600987, -8.016094043551401)
(-2.3403452260700055, -7.938974132093617)
(-2.471981021232052, -7.497820196305993)
(-1.6890936744770164, -7.946250919965065)
(-1.4042531123863653, -7.9515705621334645)
(-1.5519042133810117, -7.943494051390468)
(-1.5782680135543368, -7.586749636827753)
(-1.3203652560358223, -7.121722314515732)
(-0.6315077370690875, -7.86901853466745)
(-1.4495515098390355, -7.626654009879851)
(-1.3740924793795248, -7.2450060797391975)
(-1.3982589354348929, -7.412733462040008)
(-1.0714497662195481, -7.482614086885023)
(-0.5207831476271757, -7.1583969845559325)
(-1.046091609789629, -7.033132440205943)
(-1.0924935566271565, -7.353938767411953)
(-0.6630070633091487, -7.23668687788051)
(-0.8614369484606896, -7.272527914604389)
(-0.9416804008505124, -7.3136083008943285)
(-0.701235734040035, -7.243754656929517)
(-0.8488997710244084, -7.271295719444639)
(-0.9289621214137935, -7.30748990063869)
(-0.7554800929867129, -7.259070682073908)
(-0.8387754260791644, -7.281034674325357)
(-0.8633503272117695, -6.93582119511216)
(-0.8260170777984628, -6.794678026613365)
(-0.32208025503517496, -7.297722437511445)
(-0.8132547230923626, -6.901940996117129)
(-0.795912970322747, -6.865478147912836)
(-0.8067080477011457, -6.786811964668012)
(-0.8030234304876336, -6.882292325605259)
(-0.7956674127352875, -6.855652664637661)
(-0.7994126039001914, -6.770858573349576)
(-0.800825049591349, -6.844089922969392)
(-0.8119032690372778, -6.815640310767875)
(-0.7240805674007849, -6.361762011482966)
(-0.7715923929249909, -6.220244517629677)
(-0.7853922235101314, -6.610895154802893)
(-0.7501694417217756, -5.387417604095517)
(-0.7518861597216622, -6.086080319305564)
(-0.7803456660453701, -6.495589279850585)
(-0.7651824190428681, -6.303465306586815)
(-0.7628146144135691, -6.2342578415259755)
(-0.7771343512581855, -6.3386459651385225)
(-0.7688873605751064, -5.392147319269017)
(-0.7621253500506492, -6.096397120255716)
(-0.7678078013688387, -5.619867470599685)
(-0.7655398837263028, -5.783239997858325)
(-0.7631749296869985, -5.933286824018168)
(-0.7681558290713486, -5.653987952998596)
(-0.7654599004087368, -5.774330309943597)
(-0.7632067870145711, -5.9084330802629115)
(-0.766527573131823, -5.101627815408939)
(-0.7649594901339049, -5.394154791250414)
(-0.7626464494416656, -5.381209907307168)
(-0.7701492606449408, -4.288958116438678)
(-0.7632269907019494, -5.286462588012147)
(-0.7643936614506119, -4.53773156490317)
(-0.7640341947298891, -4.326356142108047)
(-0.7646120124290492, -3.8958761157589947)
(-0.7653922230387203, -3.8032135308487987)
(-0.7627312706604763, -4.174582752444361)
(-0.7675734892339992, -3.02796129524333)
(-0.7644132090614445, -3.6696593550275356)
(-0.7672779960305997, -3.2634099383981825)
(-0.7664560907335316, -3.362914425370342)
(-0.7644662693863918, -3.2652064910356375)
(-0.7700084786182, -2.4414780891128474)
(-0.7646922283560291, -3.2801050016912927)
(-0.7644312250164107, -3.2704969360416705)
(-0.764649614267111, -3.276201374742801)
(-0.7645422415936418, -3.2750946553848603)
(-0.7646933542281021, -2.9929964555281092)
(-0.7667668605022354, -2.319967082062234)
(-0.7648973073119424, -2.283259868258258)
(-0.7634750467658104, -2.870803779214542)
(-0.7664837829017017, -1.8398113757735486)
(-0.7661785076949745, -2.0677854246845393)
(-0.7620518172413484, -2.5303231473845154)
(-0.7679372261995729, -1.9044432277105021)
(-0.7660121589405094, -2.056738514154571)
